ResponseID,College,Rank,AppointmentType,YearsAtInstitution,Discipline,Gender,Race,Q8_OverallSatisfaction,Q9_LikelihoodToRecommend,Q10_ConsideredLeaving,Q11_Workload,Q11_Compensation,Q11_ResearchSupport,Q11_TeachingSupport,Q11_DeptClimate,Q11_TenurePromotion,Q11_LimitedAdvancement,Q11_Geographic,Q11_BetterOpportunity,Q11_LackRecognition,Q12_WorkloadManageable,Q13_WorkLifeBalance,Q14_WeeklyHours,Q15_ServiceLoad,Q16_TeachingResources,Q17_Facilities,Q18_ResearchFunding,Q19_ProfDevelopment,Q20_Mentorship,Q21_Collaboration,Q22_Compensation,Q23_TenureClarity,Q24_TenureFairness,Q25_HiringEffectiveness,Q26_PsychologicalSafety,Q27_Belonging,Q28_Inclusivity,Timestamp,Q29_ImprovementSuggestion,Q30_AdditionalComments
R0096,Engineering,Assistant Professor,Tenured,11-15 years,STEM,Woman,White,3,2,3,0,0,0,0,0,0,0,0,0,0,2,1,70+ hours,4,3,3,4,5,1,4,4,3.0,3.7,3,4,3,3,2025-10-22 01:00:00,More mentorship needed for junior faculty,Salary not competitive with peer institutions
R0097,Engineering,Associate Professor,Tenured,6-10 years,Business,Woman,White,3,3,4,1,1,1,0,1,0,0,0,0,0,2,2,40-49 hours,2,4,3,3,4,4,2,3,3.0,2.7,4,1,2,2,2025-10-22 18:00:00,Too much administrative burden,Department climate needs improvement
R0098,Science,Assistant Professor,Tenure-track,16-20 years,Humanities,Man,Asian,3,3,3,0,0,0,0,0,0,0,0,0,0,2,1,60-69 hours,3,4,5,1,5,2,3,2,3.5,2.4,3,2,1,1,2025-10-17 02:00:00,,Excellent research support and facilities
R0099,Arts & Letters,Associate Professor,Tenure-track,More than 20 years,STEM,Man,White,5,5,1,0,0,0,0,0,0,0,0,0,0,1,1,60-69 hours,3,5,5,4,4,3,4,4,4.0,2.0,4,3,3,2,2025-10-30 02:00:00,Too much administrative burden,
R0100,Arts & Letters,Professor,Tenure-track,3-5 years,Humanities,Woman,White,2,3,5,0,1,0,0,0,0,0,1,0,1,3,3,60-69 hours,2,4,5,1,3,2,4,1,2.0,1.7,2,2,1,1,2025-11-01 04:00:00,,
R0101,Arts & Letters,Professor,Adjunct/Part-time,3-5 years,Humanities,Woman,Asian,3,3,3,0,0,0,0,0,0,0,0,0,0,3,1,40-49 hours,3,2,1,1,5,4,5,3,,,3,2,2,2,2025-10-19 21:00:00,,
R0102,Business,Professor,Tenured,16-20 years,STEM,Woman,White,4,4,2,0,0,0,0,0,0,0,0,0,0,2,1,70+ hours,1,4,3,3,4,1,3,3,2.0,3.7,3,2,2,1,2025-10-30 17:00:00,Need more teaching assistants,
R0103,Science,Professor,Tenured,3-5 years,Social Sciences,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,2,4,70+ hours,2,2,2,4,3,4,5,4,3.5,1.4,3,3,5,5,2025-10-20 08:00:00,Excellent research support and facilities,Excellent research support and facilities
R0104,Engineering,Professor,Non-tenure track,16-20 years,Social Sciences,Woman,White,3,2,2,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,4,4,5,5,5,3,3,3,3.0,3.7,3,3,4,5,2025-10-31 19:00:00,Very satisfied overall,
R0105,Law,Assistant Professor,Tenure-track,6-10 years,STEM,Woman,Multiple/Other,1,1,5,1,0,1,0,1,0,0,0,0,0,2,1,70+ hours,2,2,2,3,5,2,4,3,3.0,0.7,2,1,3,3,2025-10-28 06:00:00,Salary not competitive with peer institutions,Great collegial atmosphere
R0106,Arts & Letters,Professor,Adjunct/Part-time,11-15 years,Professional fields,Woman,White,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,60-69 hours,1,2,2,3,3,1,4,3,,,3,1,1,1,2025-11-01 23:00:00,Need more teaching assistants,Great collegial atmosphere
R0107,Science,Associate Professor,Non-tenure track,0-2 years,Business,Woman,White,4,4,1,0,0,0,0,0,0,0,0,0,0,3,2,50-59 hours,2,3,2,1,2,2,2,2,2.5,3.1,3,1,3,3,2025-10-21 22:00:00,,Promotion criteria should be clearer
R0108,Business,Teaching Professor,Tenure-track,11-15 years,Humanities,Woman,White,3,3,3,0,0,0,0,0,0,0,0,0,0,4,3,50-59 hours,2,1,1,2,3,1,3,2,3.0,1.7,3,2,4,3,2025-10-24 12:00:00,Need better work-life balance policies,
R0109,Arts & Letters,Assistant Professor,Tenured,6-10 years,Social Sciences,Woman,White,3,4,3,0,0,0,0,0,0,0,0,0,0,2,1,60-69 hours,3,2,2,5,4,3,3,3,4.0,2.7,5,2,2,3,2025-11-05 20:00:00,Too much administrative burden,Salary not competitive with peer institutions
R0110,Arts & Letters,Assistant Professor,Non-tenure track,6-10 years,Social Sciences,Man,White,3,3,4,0,1,0,1,1,0,0,0,1,0,3,3,60-69 hours,3,3,2,3,5,2,4,2,2.0,4.0,3,2,5,5,2025-10-26 14:00:00,Excellent research support and facilities,
R0111,Science,Professor,Adjunct/Part-time,0-2 years,Humanities,Man,Asian,2,2,3,0,0,0,0,0,0,0,0,0,0,4,5,50-59 hours,4,3,3,1,4,2,3,3,,,3,3,2,2,2025-10-31 14:00:00,,Need more teaching assistants
R0112,Arts & Letters,Professor,Tenured,11-15 years,Humanities,Man,White,4,5,1,0,0,0,0,0,0,0,0,0,0,3,2,60-69 hours,5,3,3,3,4,3,3,1,2.0,3.0,2,2,2,2,2025-10-18 07:00:00,Department climate needs improvement,Too much administrative burden
R0113,Law,Professor,Non-tenure track,16-20 years,STEM,Man,White,2,1,4,0,0,0,0,1,0,1,0,0,1,3,2,60-69 hours,4,2,1,4,5,2,5,3,3.0,4.0,4,3,3,3,2025-10-22 02:00:00,Too much administrative burden,Salary not competitive with peer institutions
R0114,Architecture,Professor,Tenure-track,3-5 years,Social Sciences,Man,White,4,3,1,0,0,0,0,0,0,0,0,0,0,3,4,60-69 hours,3,1,2,1,3,3,3,3,5.5,2.6,2,1,5,5,2025-10-25 00:00:00,Great collegial atmosphere,
R0115,Business,Associate Professor,Adjunct/Part-time,0-2 years,Arts & Performance,Man,White,3,3,2,0,0,0,0,0,0,0,0,0,0,5,5,40-49 hours,4,4,5,3,4,3,4,4,,,3,2,2,2,2025-11-02 17:00:00,Promotion criteria should be clearer,
R0116,Law,Professor,Tenure-track,0-2 years,Social Sciences,Man,Prefer not to say,3,3,2,0,0,0,0,0,0,0,0,0,0,4,3,70+ hours,3,4,3,4,3,3,3,5,5.0,4.0,3,2,4,3,2025-10-22 18:00:00,Great collegial atmosphere,
R0117,Architecture,Professor,Adjunct/Part-time,11-15 years,STEM,Man,White,1,1,5,1,0,1,0,0,0,0,0,1,0,2,2,60-69 hours,5,2,1,3,3,1,4,1,,,3,2,3,3,2025-10-22 00:00:00,Need more teaching assistants,Promotion criteria should be clearer
R0118,Arts & Letters,Professor,Non-tenure track,11-15 years,Arts & Performance,Woman,White,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,2,4,2,2,3,3,3,2,5.0,3.7,3,1,2,2,2025-10-17 22:00:00,Need better work-life balance policies,
R0119,Law,Assistant Professor,Non-tenure track,6-10 years,STEM,Woman,White,2,2,4,0,1,1,0,0,0,0,0,1,0,1,1,50-59 hours,1,3,2,4,3,4,3,1,3.0,2.7,3,3,2,2,2025-11-04 01:00:00,More mentorship needed for junior faculty,Promotion criteria should be clearer
R0120,Engineering,Associate Professor,Tenured,3-5 years,STEM,Man,Multiple/Other,1,2,5,0,1,0,0,1,0,0,0,1,0,2,1,60-69 hours,2,3,3,3,3,2,5,3,2.0,3.0,5,4,4,3,2025-10-22 02:00:00,Department climate needs improvement,Excellent research support and facilities
R0121,Architecture,Associate Professor,Tenure-track,6-10 years,STEM,Woman,White,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2,70+ hours,2,1,1,1,4,3,2,3,1.5,4.3,3,1,1,2,2025-10-16 10:00:00,Salary not competitive with peer institutions,Excellent research support and facilities
R0122,Law,Assistant Professor,Tenure-track,6-10 years,Social Sciences,Man,White,5,5,1,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,4,2,2,1,3,3,5,5,3.0,4.0,3,3,2,3,2025-10-17 16:00:00,Salary not competitive with peer institutions,Need better work-life balance policies
R0123,Science,Assistant Professor,Tenure-track,6-10 years,Arts & Performance,Man,Asian,4,5,1,0,0,0,0,0,0,0,0,0,0,2,2,60-69 hours,2,3,2,3,3,2,4,3,2.5,1.4,3,4,3,3,2025-10-22 08:00:00,Salary not competitive with peer institutions,Promotion criteria should be clearer
R0124,Arts & Letters,Professor,Tenure-track,More than 20 years,Social Sciences,Man,Asian,4,4,1,0,0,0,0,0,0,0,0,0,0,5,5,40-49 hours,4,5,5,4,5,3,3,4,5.0,3.0,5,4,4,5,2025-11-05 15:00:00,Department climate needs improvement,
R0125,Arts & Letters,Instructor/Lecturer,Non-tenure track,0-2 years,STEM,Man,White,3,2,2,0,0,0,0,0,0,0,0,0,0,3,3,60-69 hours,1,4,3,3,4,3,2,4,4.0,3.0,3,3,4,4,2025-10-21 17:00:00,Need better work-life balance policies,
R0126,Science,Assistant Professor,Tenured,11-15 years,Business,Woman,White,4,5,2,0,0,0,0,0,0,0,0,0,0,3,1,70+ hours,2,4,4,1,1,1,3,2,2.5,2.1,2,3,1,1,2025-10-19 23:00:00,Need better work-life balance policies,
R0127,Architecture,Professor,Tenure-track,6-10 years,Business,Woman,White,4,5,2,0,0,0,0,0,0,0,0,0,0,2,1,60-69 hours,2,1,1,2,2,1,3,1,2.5,0.3,2,1,1,1,2025-11-02 18:00:00,,Great collegial atmosphere
R0128,Law,Teaching Professor,Adjunct/Part-time,6-10 years,Business,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,3,4,40-49 hours,5,5,4,2,2,4,5,4,,,3,4,4,4,2025-10-30 07:00:00,Excellent research support and facilities,Promotion criteria should be clearer
R0129,Arts & Letters,Teaching Professor,Non-tenure track,11-15 years,STEM,Man,White,2,2,3,0,0,0,0,0,0,0,0,0,0,3,2,60-69 hours,2,3,2,3,3,3,5,2,3.0,3.0,3,4,5,5,2025-10-30 13:00:00,,Salary not competitive with peer institutions
R0130,Engineering,Professor,Adjunct/Part-time,11-15 years,Social Sciences,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,2,1,50-59 hours,2,5,5,2,2,4,3,5,,,3,5,5,5,2025-10-21 03:00:00,,
R0131,Science,Associate Professor,Adjunct/Part-time,More than 20 years,Professional fields,Man,White,5,5,1,0,0,0,0,0,0,0,0,0,0,5,5,50-59 hours,2,3,3,1,3,3,4,3,,,2,2,4,5,2025-10-18 21:00:00,Excellent research support and facilities,Promotion criteria should be clearer
R0132,Arts & Letters,Instructor/Lecturer,Tenure-track,0-2 years,Arts & Performance,Man,White,3,4,3,0,0,0,0,0,0,0,0,0,0,2,2,60-69 hours,2,4,5,3,3,3,4,4,4.0,5.0,3,3,4,4,2025-10-28 11:00:00,,
R0133,Arts & Letters,Assistant Professor,Tenured,0-2 years,STEM,Man,White,1,1,4,1,1,0,1,0,0,0,1,0,0,2,2,70+ hours,4,5,5,4,4,2,4,3,4.0,4.0,4,4,4,4,2025-10-28 13:00:00,Too much administrative burden,Very satisfied overall
R0134,Science,Professor,Non-tenure track,11-15 years,STEM,Woman,Multiple/Other,1,2,5,0,0,1,0,1,0,0,0,0,1,1,1,50-59 hours,2,2,2,1,1,1,3,2,2.5,0.10000000000000003,2,2,2,2,2025-10-29 23:00:00,More mentorship needed for junior faculty,Promotion criteria should be clearer
R0135,Law,Associate Professor,Non-tenure track,6-10 years,Social Sciences,Woman,White,3,3,3,0,0,0,0,0,0,0,0,0,0,5,5,70+ hours,2,3,2,4,3,1,1,3,2.0,3.7,3,3,3,3,2025-10-16 21:00:00,Very satisfied overall,Very satisfied overall
R0136,Science,Associate Professor,Tenure-track,3-5 years,Business,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,4,4,4,3,3,3,3,3,3.5,3.4,4,4,3,4,2025-11-04 20:00:00,,Excellent research support and facilities
R0137,Engineering,Assistant Professor,Non-tenure track,0-2 years,Humanities,Woman,White,3,4,4,1,0,0,0,1,0,1,0,1,0,5,5,50-59 hours,2,3,3,3,5,2,2,2,4.0,2.7,5,1,1,1,2025-10-18 01:00:00,Department climate needs improvement,
R0138,Business,Assistant Professor,Tenure-track,0-2 years,Social Sciences,Man,Multiple/Other,4,4,2,0,0,0,0,0,0,0,0,0,0,3,4,60-69 hours,2,2,3,3,4,3,3,3,2.0,3.0,3,2,4,5,2025-10-27 23:00:00,,Very satisfied overall
R0139,Science,Associate Professor,Tenure-track,16-20 years,STEM,Man,White,3,4,2,0,0,0,0,0,0,0,0,0,0,1,1,60-69 hours,2,5,5,2,4,3,4,2,1.5,1.4,3,3,5,5,2025-10-25 03:00:00,,
R0140,Global Affairs,Assistant Professor,Tenured,0-2 years,Humanities,Man,White,2,2,3,0,0,0,0,0,0,0,0,0,0,3,4,60-69 hours,3,3,4,1,3,2,4,1,4.0,3.0,3,3,2,2,2025-10-22 06:00:00,Department climate needs improvement,Need better work-life balance policies
R0141,Global Affairs,Assistant Professor,Tenured,3-5 years,Business,Woman,White,3,2,2,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,1,3,3,4,5,2,4,4,3.0,3.7,4,4,3,3,2025-10-21 17:00:00,Excellent research support and facilities,Need better work-life balance policies
R0142,Science,Professor,Tenured,3-5 years,Social Sciences,Non-binary,White,3,4,2,0,0,0,0,0,0,0,0,0,0,1,2,60-69 hours,2,4,4,3,1,1,3,3,3.5,1.4,2,2,2,1,2025-10-29 04:00:00,,
R0143,Engineering,Associate Professor,Tenure-track,3-5 years,Arts & Performance,Woman,White,4,4,3,0,0,0,0,0,0,0,0,0,0,4,4,50-59 hours,2,3,3,4,3,1,3,3,4.0,1.7,3,3,3,3,2025-10-28 05:00:00,Very satisfied overall,Very satisfied overall
R0144,Science,Assistant Professor,Non-tenure track,0-2 years,Professional fields,Man,White,2,2,2,0,0,0,0,0,0,0,0,0,0,3,3,60-69 hours,3,2,2,4,3,1,1,4,2.5,2.4,2,2,2,2,2025-10-23 14:00:00,,
R0145,Science,Teaching Professor,Tenured,6-10 years,STEM,Woman,White,3,3,3,0,0,0,0,0,0,0,0,0,0,2,2,60-69 hours,1,3,2,1,5,1,3,2,2.5,2.1,2,1,2,3,2025-10-22 02:00:00,Department climate needs improvement,
R0146,Arts & Letters,Assistant Professor,Tenure-track,0-2 years,Humanities,Man,Multiple/Other,5,5,1,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,2,1,1,1,3,2,3,3,3.0,4.0,3,3,3,3,2025-10-29 17:00:00,Department climate needs improvement,Very satisfied overall
R0147,Engineering,Assistant Professor,Non-tenure track,16-20 years,STEM,Woman,White,3,3,3,0,0,0,0,0,0,0,0,0,0,2,1,70+ hours,1,3,3,4,4,4,3,4,3.0,3.7,2,3,2,3,2025-10-18 01:00:00,,Need more teaching assistants
R0148,Engineering,Professor,Adjunct/Part-time,3-5 years,Arts & Performance,Man,White,5,5,1,0,0,0,0,0,0,0,0,0,0,5,5,70+ hours,4,4,5,4,3,2,3,3,,,5,4,5,5,2025-11-04 17:00:00,Need more teaching assistants,Promotion criteria should be clearer
R0149,Arts & Letters,Associate Professor,Non-tenure track,6-10 years,Humanities,Man,Asian,2,2,5,1,0,1,1,0,0,0,0,0,0,3,2,70+ hours,4,3,2,4,5,3,3,4,3.0,3.0,3,3,1,1,2025-10-15 02:00:00,,
R0150,Science,Assistant Professor,Non-tenure track,16-20 years,Humanities,Woman,White,4,5,2,0,0,0,0,0,0,0,0,0,0,1,1,50-59 hours,1,1,2,2,4,1,3,3,3.5,3.1,3,3,1,1,2025-10-22 05:00:00,Great collegial atmosphere,Need more teaching assistants
R0151,Law,Associate Professor,Non-tenure track,11-15 years,Arts & Performance,Woman,White,2,3,5,0,1,1,0,0,0,0,0,1,1,3,3,40-49 hours,2,5,4,2,4,2,4,3,4.0,2.7,2,3,2,1,2025-10-28 15:00:00,Department climate needs improvement,
R0152,Arts & Letters,Associate Professor,Tenured,6-10 years,Social Sciences,Man,White,4,4,3,0,0,0,0,0,0,0,0,0,0,3,2,60-69 hours,3,4,3,3,3,5,4,4,4.0,3.0,3,4,4,4,2025-10-30 06:00:00,,Too much administrative burden
R0153,Arts & Letters,Associate Professor,Tenure-track,3-5 years,Business,Woman,White,2,1,4,0,1,1,0,1,0,1,0,0,0,3,2,40-49 hours,1,4,5,1,3,3,5,2,5.0,3.7,3,1,3,3,2025-10-27 01:00:00,Too much administrative burden,
R0154,Engineering,Professor,Tenured,3-5 years,Humanities,Man,Black or African American,4,5,1,0,0,0,0,0,0,0,0,0,0,5,5,70+ hours,1,3,4,1,3,3,3,3,3.0,3.0,3,3,4,4,2025-10-20 12:00:00,,
R0155,Global Affairs,Associate Professor,Tenured,11-15 years,STEM,Woman,Multiple/Other,2,2,4,1,0,0,0,0,0,0,1,0,0,3,2,50-59 hours,1,2,3,3,3,2,3,1,4.0,2.7,4,3,2,1,2025-10-15 12:00:00,,
R0156,Arts & Letters,Associate Professor,Tenured,More than 20 years,Humanities,Woman,White,3,3,2,0,0,0,0,0,0,0,0,0,0,3,1,50-59 hours,1,3,4,3,2,4,3,1,2.0,2.7,3,3,3,2,2025-10-23 14:00:00,Need better work-life balance policies,Need more teaching assistants
R0157,Business,Associate Professor,Non-tenure track,11-15 years,Arts & Performance,Woman,White,4,3,2,0,0,0,0,0,0,0,0,0,0,2,2,50-59 hours,2,3,4,3,2,2,4,4,2.0,1.7,2,3,1,1,2025-10-24 13:00:00,Need more teaching assistants,Great collegial atmosphere
R0158,Business,Professor,Tenured,6-10 years,STEM,Man,Multiple/Other,3,3,3,0,0,0,0,0,0,0,0,0,0,2,2,60-69 hours,2,2,2,1,3,4,3,3,1.0,2.0,2,4,4,4,2025-11-01 21:00:00,Department climate needs improvement,Great collegial atmosphere
R0159,Arts & Letters,Teaching Professor,Tenure-track,11-15 years,Business,Man,Asian,4,4,2,0,0,0,0,0,0,0,0,0,0,3,3,60-69 hours,4,5,5,3,3,3,5,4,3.0,3.0,4,4,2,2,2025-10-30 04:00:00,More mentorship needed for junior faculty,Great collegial atmosphere
R0160,Business,Assistant Professor,Tenure-track,6-10 years,Business,Man,Black or African American,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,4,2,2,2,3,1,3,1,2.0,3.0,4,3,2,2,2025-10-21 09:00:00,Great collegial atmosphere,Great collegial atmosphere
R0161,Science,Assistant Professor,Non-tenure track,0-2 years,STEM,Woman,White,3,4,3,0,0,0,0,0,0,0,0,0,0,1,1,50-59 hours,1,1,2,3,3,1,2,4,2.5,3.1,3,1,2,2,2025-10-21 01:00:00,,Excellent research support and facilities
R0162,Business,Instructor/Lecturer,Tenure-track,6-10 years,Professional fields,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,4,5,50-59 hours,4,5,4,3,4,3,4,4,4.0,4.0,4,4,5,5,2025-11-02 23:00:00,,Promotion criteria should be clearer
R0163,Business,Assistant Professor,Non-tenure track,More than 20 years,STEM,Man,Asian,3,4,3,0,0,0,0,0,0,0,0,0,0,1,1,60-69 hours,2,3,2,2,3,3,3,3,2.0,4.0,4,5,1,1,2025-11-01 01:00:00,,Great collegial atmosphere
R0164,Engineering,Professor,Tenured,0-2 years,STEM,Man,Asian,3,3,3,0,0,0,0,0,0,0,0,0,0,4,5,50-59 hours,4,3,2,4,4,4,4,3,3.0,4.0,5,3,1,1,2025-10-25 01:00:00,,
R0165,Arts & Letters,Assistant Professor,Tenured,11-15 years,STEM,Man,White,3,4,4,0,1,1,0,0,0,0,0,0,0,2,2,60-69 hours,2,2,1,3,3,3,3,4,3.0,4.0,2,3,4,4,2025-10-16 18:00:00,Excellent research support and facilities,
R0166,Architecture,Assistant Professor,Tenured,3-5 years,Business,Woman,White,4,4,2,0,0,0,0,0,0,0,0,0,0,3,2,50-59 hours,2,3,3,4,3,3,3,4,1.5,2.3000000000000003,3,1,2,2,2025-10-30 16:00:00,,Excellent research support and facilities
R0167,Science,Assistant Professor,Non-tenure track,6-10 years,Humanities,Man,White,3,3,4,0,1,1,1,0,0,0,0,0,0,2,3,60-69 hours,2,2,1,1,4,3,4,3,1.5,2.4,4,3,4,4,2025-10-31 05:00:00,Department climate needs improvement,
R0168,Arts & Letters,Associate Professor,Tenured,0-2 years,STEM,Woman,White,2,1,3,0,0,0,0,0,0,0,0,0,0,2,2,70+ hours,1,3,3,1,2,1,3,5,2.0,2.7,2,3,3,3,2025-10-16 16:00:00,Need better work-life balance policies,
R0169,Arts & Letters,Professor,Non-tenure track,6-10 years,Social Sciences,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,2,2,70+ hours,2,4,5,1,5,2,5,2,5.0,2.0,3,3,4,4,2025-10-17 05:00:00,Excellent research support and facilities,
R0170,Engineering,Associate Professor,Tenured,11-15 years,Humanities,Man,Multiple/Other,4,4,2,0,0,0,0,0,0,0,0,0,0,4,4,70+ hours,4,4,4,2,3,3,4,1,4.0,4.0,3,5,3,3,2025-10-17 19:00:00,,More mentorship needed for junior faculty
R0171,Business,Associate Professor,Tenured,3-5 years,STEM,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,2,3,4,3,4,3,4,2,4.0,3.0,3,2,1,1,2025-10-17 21:00:00,,Excellent research support and facilities
R0172,Arts & Letters,Assistant Professor,Non-tenure track,11-15 years,Business,Man,Black or African American,2,2,5,1,0,1,0,1,0,0,0,0,1,3,3,40-49 hours,2,1,1,1,4,2,3,3,1.0,2.0,2,3,2,2,2025-10-22 12:00:00,Excellent research support and facilities,Very satisfied overall
R0173,Engineering,Assistant Professor,Non-tenure track,16-20 years,Arts & Performance,Man,White,3,4,2,0,0,0,0,0,0,0,0,0,0,3,4,50-59 hours,3,3,4,5,5,5,4,4,5.0,5.0,4,3,5,5,2025-10-18 18:00:00,,More mentorship needed for junior faculty
R0174,Arts & Letters,Associate Professor,Non-tenure track,More than 20 years,Social Sciences,Woman,White,3,4,2,0,0,0,0,0,0,0,0,0,0,3,2,70+ hours,2,3,3,4,3,2,4,3,4.0,1.7,4,1,2,2,2025-10-22 18:00:00,Great collegial atmosphere,Need more teaching assistants
R0175,Business,Research Professor,Non-tenure track,3-5 years,Professional fields,Man,Multiple/Other,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,70+ hours,3,2,1,3,3,2,1,4,1.0,2.0,4,3,3,3,2025-11-03 01:00:00,Department climate needs improvement,Need more teaching assistants
R0176,Arts & Letters,Assistant Professor,Non-tenure track,6-10 years,Social Sciences,Woman,White,4,5,3,0,0,0,0,0,0,0,0,0,0,2,2,70+ hours,1,3,5,4,4,4,3,4,2.0,3.7,2,2,3,3,2025-11-03 02:00:00,Department climate needs improvement,Department climate needs improvement
R0177,Business,Associate Professor,Non-tenure track,0-2 years,Professional fields,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,3,3,40-49 hours,3,4,4,4,4,2,2,2,4.0,4.0,3,2,3,3,2025-10-28 21:00:00,Need more teaching assistants,Salary not competitive with peer institutions
R0178,Science,Professor,Non-tenure track,More than 20 years,Humanities,Man,White,4,3,1,0,0,0,0,0,0,0,0,0,0,4,4,70+ hours,4,4,3,1,3,4,4,1,3.5,2.4,4,2,4,3,2025-11-02 18:00:00,Department climate needs improvement,Promotion criteria should be clearer
R0179,Law,Professor,Non-tenure track,More than 20 years,Humanities,Woman,White,4,3,2,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,1,2,1,1,3,2,3,3,2.0,2.7,4,2,4,4,2025-10-31 10:00:00,Great collegial atmosphere,More mentorship needed for junior faculty
R0180,Arts & Letters,Associate Professor,Non-tenure track,6-10 years,STEM,Man,Asian,4,4,3,0,0,0,0,0,0,0,0,0,0,2,2,40-49 hours,4,5,5,4,2,4,3,3,3.0,4.0,4,4,3,3,2025-10-23 06:00:00,Need more teaching assistants,
R0181,Science,Professor,Non-tenure track,16-20 years,Business,Man,Hispanic or Latino/a/x,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,3,3,3,2,3,3,4,2,1.5,0.4,3,3,1,1,2025-11-05 22:00:00,Excellent research support and facilities,
R0182,Arts & Letters,Professor,Non-tenure track,6-10 years,Social Sciences,Man,White,2,2,4,1,0,0,0,1,0,1,0,0,0,3,3,40-49 hours,2,3,3,4,4,4,4,4,4.0,3.0,3,4,4,4,2025-10-25 07:00:00,More mentorship needed for junior faculty,
R0183,Law,Associate Professor,Tenure-track,11-15 years,STEM,Man,White,3,3,2,0,0,0,0,0,0,0,0,0,0,3,3,60-69 hours,2,4,3,3,5,1,3,2,5.0,5.0,4,4,2,2,2025-10-23 12:00:00,,
R0184,Law,Professor,Non-tenure track,0-2 years,STEM,Woman,White,3,3,2,0,0,0,0,0,0,0,0,0,0,3,3,60-69 hours,2,5,5,3,3,2,3,2,2.0,1.7,3,2,3,3,2025-10-19 21:00:00,Promotion criteria should be clearer,Department climate needs improvement
R0185,Science,Teaching Professor,Non-tenure track,11-15 years,Humanities,Man,Asian,4,4,3,0,0,0,0,0,0,0,0,0,0,3,3,60-69 hours,2,2,2,1,5,4,3,2,3.5,2.4,3,2,3,3,2025-11-04 09:00:00,Too much administrative burden,Salary not competitive with peer institutions
R0186,Business,Professor,Tenure-track,0-2 years,Humanities,Woman,White,3,2,4,1,0,0,0,1,0,0,1,0,0,1,1,60-69 hours,3,3,2,2,3,2,1,1,2.0,1.7,2,1,4,4,2025-10-29 10:00:00,,Department climate needs improvement
R0187,Architecture,Assistant Professor,Non-tenure track,16-20 years,Humanities,Woman,White,2,2,3,0,0,0,0,0,0,0,0,0,0,1,1,70+ hours,1,1,1,3,4,2,2,2,2.5,1.3,2,1,2,2,2025-10-17 00:00:00,Need more teaching assistants,Too much administrative burden
R0188,Engineering,Associate Professor,Tenure-track,16-20 years,Business,Man,White,3,2,4,1,0,0,0,0,0,0,0,1,0,5,5,50-59 hours,3,4,2,3,4,2,4,3,5.0,3.0,3,4,5,5,2025-10-29 19:00:00,,
R0189,Engineering,Research Professor,Tenured,11-15 years,STEM,Woman,White,4,4,2,0,0,0,0,0,0,0,0,0,0,2,1,60-69 hours,1,4,4,2,4,2,4,5,5.0,3.7,3,3,2,3,2025-11-02 03:00:00,,Very satisfied overall
R0190,Arts & Letters,Professor,Non-tenure track,0-2 years,Humanities,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,3,3,60-69 hours,4,3,2,1,2,3,2,2,4.0,3.0,2,4,3,3,2025-10-17 17:00:00,,Great collegial atmosphere
R0191,Arts & Letters,Associate Professor,Tenure-track,3-5 years,STEM,Non-binary,Asian,4,4,3,0,0,0,0,0,0,0,0,0,0,3,3,70+ hours,2,2,2,4,3,2,4,3,1.0,3.0,2,2,1,1,2025-10-21 16:00:00,Salary not competitive with peer institutions,Salary not competitive with peer institutions
R0192,Law,Research Professor,Non-tenure track,3-5 years,Business,Man,White,3,3,3,0,0,0,0,0,0,0,0,0,0,3,2,40-49 hours,3,2,3,4,2,4,4,4,3.0,2.0,2,3,4,4,2025-10-23 04:00:00,Need more teaching assistants,
R0193,Law,Teaching Professor,Non-tenure track,3-5 years,Arts & Performance,Woman,White,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,60-69 hours,3,3,2,3,3,2,3,2,4.0,2.7,4,1,2,2,2025-10-26 02:00:00,,Promotion criteria should be clearer
R0194,Business,Instructor/Lecturer,Tenured,0-2 years,Humanities,Man,Black or African American,2,3,5,1,1,0,1,0,0,0,0,0,1,1,1,50-59 hours,1,4,5,1,3,2,3,1,3.0,2.0,3,2,2,1,2025-10-22 11:00:00,Promotion criteria should be clearer,
